Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
FarjanaDrawingAcademy,Unknown,12500000.0,India,387100.0,25100.0,316.0,http://youtube.com/channel/UCd3s7BuoOlu4bRJL6RdGWXw
TeremokTV,Unknown,12500000.0,Unknown,95400.0,253.0,0.0,http://youtube.com/channel/UCxWkNmkeAL52VTJyBlIJRXw
eltrece,Music and Dance,12400000.0,Unknown,1500.0,15.0,3.0,http://youtube.com/channel/UC0DM_mHV2u6dj8ig51GkQwg
TheKingofRandom,DIY and Life Hacks,12400000.0,United States,32700.000000000004,1000.0,86.0,http://youtube.com/channel/UC1zZE_kJ8rQHgLTVfobLi_g
Vendyyaduwanshi,Unknown,12400000.0,India,353000.0,44100.0,74.0,http://youtube.com/channel/UCNLLgtPIKew9vHNVAQmdVGQ
ArynewsTvofficial,News and Politics,12400000.0,Pakistan,3600.0,75.0,2.0,http://youtube.com/channel/UCMmpLL2ucRHAXbNHiCPyIyg
MakeJokeOf,"Movies, Animation",12400000.0,India,7400000.0,343000.0,12000.0,http://youtube.com/channel/UCvgteBQjoaxE0bhFkpu8qAw
LOUDgg,Unknown,12400000.0,Brazil,310800.0,22300.0,275.0,http://youtube.com/channel/UC7iwNp4GUynlGXvK-6KD0Rw
ctctv,"Movies, Animation",12400000.0,Russia,39900.0,940.0,20.0,http://youtube.com/channel/UCdmauIL-k-djcct-yMrf82A
TalentRecap,"Music and Dance, Movies",12400000.0,United States,52100.0,544.0,36.0,http://youtube.com/channel/UCSWwb_YyNB8vuC1VDcfPPaQ
LittleTreehouseNurseryRhymes,"Toys, Cars and Vehicles",12400000.0,Unknown,104200.0,373.0,0.0,http://youtube.com/channel/UCpzYfBXbEHHQHU2e89jM9Tg
scottsreality,Unknown,12400000.0,United States,9300000.0,199200.0,1600.0,http://youtube.com/channel/UCFXZBGS7J0IDINQc8xtMqCg
OliviaRodrigo,Music and Dance,12400000.0,United States,1600000.0,78000.0,2400.0,http://youtube.com/channel/UCy3zgWom-5AGypGX_FVTKpg
GrandmasterJinBodhi,Animation,12400000.0,Singapore,26400.0,639.0,26.0,http://youtube.com/channel/UCBuBSRtY41VzSkP_RR3IVoQ
IceCreamRolls,Unknown,12400000.0,United States,18000.0,634.0,29.0,http://youtube.com/channel/UCAon55hNT6ESbdQ5y1hRWTA
_gogo2728,Daily Vlogs,12400000.0,India,86700.0,8200.0,37.0,http://youtube.com/channel/UCUpS9qH3N5rFy51Ft-rYsnA
FilmTheory,"Movies, Animation",12400000.0,United States,1200000.0,71500.0,4500.0,http://youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q
HISTORY,Movies,12400000.0,United States,108200.0,1900.0,167.0,http://youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ
NattiNatasha,Music and Dance,12400000.0,United States,56300.0,3400.0,65.0,http://youtube.com/channel/UCu59H8LNti6mwvcGRMge5PA
123GO_,DIY and Life Hacks,12400000.0,United States,133200.0,549.0,26.0,http://youtube.com/channel/UCBXNpF6k2n8dsI6nBH8q4sQ
JoojNatu,Unknown,12400000.0,Brazil,2300000.0,197700.0,759.0,http://youtube.com/channel/UCVVksn-TMGmkwvirl_neMWw
belabagunca,"Movies, Animation",12400000.0,Brazil,114900.0,3900.0,87.0,http://youtube.com/channel/UChYWDADhmWJU6_X7Vm7FzDw
BlackEyedPeas,Music and Dance,12400000.0,United States,10100.0,498.0,9.0,http://youtube.com/channel/UCBFaOy1_APEXEyA6Gws_Y1g
rathorvideo,Music and Dance,12400000.0,India,5300.0,55.0,4.0,http://youtube.com/channel/UCbSGbqIVds2FiYn-0v0AqSA
InsideEdition,News and Politics,12400000.0,United States,65800.0,1700.0,173.0,http://youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w
Panda.,"Animation, Video Games",12400000.0,India,839300.0,70100.0,800.0,http://youtube.com/channel/UCj0sKQk9qjiIfNH22ZBWpxw
NirahuaMusic,Unknown,12300000.0,India,799200.0,8900.0,199.0,http://youtube.com/channel/UCKNGMXJHTiGFdZNSo_zs3fQ
WatchMeOff,"Movies, Animation",12300000.0,Russia,749800.0,20200.0,89.0,http://youtube.com/channel/UCGTl_sQxago30b5vfoMomCg
LuanSantana,Music and Dance,12300000.0,Brazil,1200000.0,50000.0,1500.0,http://youtube.com/channel/UC6rwiIxv0w2fbmmr66wl1rA
JugnuKidsrhymes,"Food and Drink, Toys",12300000.0,Unknown,46900.0,176.0,0.0,http://youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg
MBCMASRtv,Unknown,12200000.0,Egypt,2200.0,39.0,2.0,http://youtube.com/channel/UCnFKsbAof9fRv614I4wJX_w
Lulu99,Unknown,12200000.0,Colombia,410400.0,32000.0,660.0,http://youtube.com/channel/UCCyCcRlr_NRDP-JFAhBxq1g
LipaoGamer,"Movies, Animation",12200000.0,Brazil,130100.0,5100.0,86.0,http://youtube.com/channel/UCHuZmQ0lSW8TG81dVZZh5rw
lilwayne,Cars and Vehicles,12200000.0,United States,203700.0,11100.0,576.0,http://youtube.com/channel/UCO9zJy7HWrIS3ojB4Lr7Yqw
natandessie,"Toys, DIY and Life Hacks",12200000.0,United States,62600.0,256.0,0.0,http://youtube.com/channel/UCzIdYMdAtTsWucGCZyZvN6w
itsxomgpop,"Music and Dance, Movies",12200000.0,Unknown,32900.0,1500.0,0.0,http://youtube.com/channel/UCeV2O_6QmFaaKBZHY3bJgsA
yogawithadriene,Fitness,12200000.0,United States,0.0,0.0,0.0,http://youtube.com/channel/UCFKE7WVJfvaHW5q283SxchA
SPDNOO1,Humor,12200000.0,Thailand,1600000.0,62500.0,137.0,http://youtube.com/channel/UCiHQ5AywCFKF6q-C5dIguVQ
bbcearth,Unknown,12200000.0,United States,92100.0,1600.0,103.0,http://youtube.com/channel/UCwmZiChSryoWQCZMIQezgTg
telugufilmnagar,Unknown,12200000.0,India,3400.0,55.0,1.0,http://youtube.com/channel/UCintIUOJEktQBfhEI9XXpuw
MashaBearHINDI,"Animation, Toys",12200000.0,Unknown,90900.0,1600.0,0.0,http://youtube.com/channel/UCpgG0rtKd-CTzStI9w2ibkg
MUSATANVEER,Unknown,12200000.0,Pakistan,166700.0,3200.0,43.0,http://youtube.com/channel/UC6jRgc_w-nCk7oAoM6lwNNQ
brancoala,"Movies, Animation",12200000.0,Brazil,343100.0,6200.0,204.0,http://youtube.com/channel/UC0otZdGYsA9KqVKAcn2peQA
KooKooTvHindi,Unknown,12200000.0,India,337800.0,2600.0,80.0,http://youtube.com/channel/UCZNr3-bxFbzfLzbiJ_rJ5zw
TWOSIDEGAMERS,Unknown,12200000.0,India,200400.0,18800.0,656.0,http://youtube.com/channel/UCiDikVE7Y4_KpQwsxarj38g
flamingo,"Animation, Video Games",12200000.0,United States,1800000.0,71300.0,8800.0,http://youtube.com/channel/UCm-X6o81nRsXQTmqpyArkBQ
OumWalidcuisine,Education,12200000.0,Algeria,333500.0,16000.0,791.0,http://youtube.com/channel/UCVXD2kNki3rfLMhF8uNIcBQ
elrubius,"Movies, Animation",12200000.0,Mexico,1100000.0,85600.0,934.0,http://youtube.com/channel/UCcjIvuxmWlS5IEQ0JdPV4Ng
Aniruddhacharyaji,Daily Vlogs,12100000.0,India,116400.0,3600.0,192.0,http://youtube.com/channel/UCDe0DwkMVFfSIoiYdQUPQmQ
